Location,Year,Month,average_monthly_rainfall
Albany,2011,November,2.5533333333333332
Albany,2011,October,1.638709677419355
Albany,2011,September,3.0000000000000004
Albany,2012,April,1.9366666666666665
Albany,2012,August,3.270967741935484
Albany,2012,February,0.2827586206896552
Albany,2012,January,0.4064516129032259
Albany,2012,July,2.6
Albany,2012,June,7.266666666666667
Albany,2012,March,0.3999999999999999
Albany,2012,May,2.983870967741935
Albany,2012,November,3.1899999999999995
Albany,2012,October,1.0516129032258064
Albany,2012,September,4.9399999999999995
Albany,2013,April,2.093333333333333
Albany,2013,August,6.574193548387097
Albany,2013,December,1.6483870967741934
Albany,2013,January,1.0200000000000002
Albany,2013,July,3.0709677419354837
Albany,2013,June,2.1266666666666665
Albany,2013,March,2.9655172413793105
Albany,2013,May,3.145161290322581
Albany,2013,November,1.1933333333333336
Albany,2013,October,1.761290322580645
Albany,2013,September,5.82
Albany,2014,April,1.1785714285714288
Albany,2014,August,1.9290322580645158
Albany,2014,December,0.3793103448275862
Albany,2014,February,0.25
Albany,2014,January,0.10666666666666666
Albany,2014,July,3.903225806451613
Albany,2014,June,2.5933333333333333
Albany,2014,March,0.6838709677419357
Albany,2014,May,2.8161290322580643
Albany,2014,November,1.4833333333333332
Albany,2014,October,3.7129032258064516
Albany,2014,September,2.2566666666666664
Albany,2015,April,2.5933333333333333
Albany,2015,August,3.2580645161290325
Albany,2015,December,1.6129032258064515
Albany,2015,February,0.7464285714285713
Albany,2015,January,0.17419354838709677
Albany,2015,July,2.883870967741936
Albany,2015,June,1.6333333333333335
Albany,2015,March,1.1483870967741936
Albany,2015,May,1.9233333333333333
Albany,2015,November,0.57
Albany,2015,October,1.9193548387096773
Albany,2015,September,1.7633333333333334
Albany,2016,April,3.1533333333333338
Albany,2016,August,3.77741935483871
Albany,2016,December,1.2178571428571427
Albany,2016,February,0.7482758620689657
Albany,2016,January,2.3806451612903223
Albany,2016,July,3.954838709677419
Albany,2016,June,4.01
Albany,2016,March,1.4733333333333336
Albany,2016,May,3.158064516129033
Albany,2016,November,0.7533333333333333
Albany,2016,October,2.025806451612903
Albany,2016,September,3.4266666666666667
Albany,2017,April,1.7964285714285715
Albany,2017,February,2.0076923076923077
Albany,2017,January,0.12000000000000002
Albany,2017,June,1.9818181818181821
Albany,2017,March,1
Albany,2017,May,2.2333333333333334
Albury,2008,December,1.7999999999999998
Albury,2009,April,2.8266666666666667
Albury,2009,August,1.9999999999999998
Albury,2009,December,0.4838709677419354
Albury,2009,February,0.1285714285714286
Albury,2009,January,0.2516129032258065
Albury,2009,July,1.7612903225806453
Albury,2009,June,2.3733333333333335
Albury,2009,March,0.7741935483870968
Albury,2009,May,0.2193548387096775
Albury,2009,November,1.9599999999999995
Albury,2009,October,0.8387096774193549
Albury,2009,September,2.1172413793103453
Albury,2010,April,1.2000000000000002
Albury,2010,August,3.3466666666666667
Albury,2010,December,2.3935483870967738
Albury,2010,February,3.0083333333333337
Albury,2010,January,0.6774193548387094
Albury,2010,July,2.0774193548387094
Albury,2010,June,0.9666666666666666
Albury,2010,March,3.793103448275861
Albury,2010,May,1.9806451612903233
Albury,2010,November,3.913333333333333
Albury,2010,October,4.993548387096775
Albury,2010,September,2.52
Albury,2011,August,2.3677419354838714
Albury,2011,December,1.0774193548387097
Albury,2011,February,9.55
Albury,2011,January,2.3354838709677415
Albury,2011,July,2.264516129032258
Albury,2011,June,1.1133333333333333
Albury,2011,March,1.7290322580645159
Albury,2011,May,1.0516129032258066
Albury,2011,November,4.286666666666666
Albury,2011,October,1
Albury,2011,September,2.007692307692307
Albury,2012,April,1.5466666666666664
Albury,2012,August,1.6903225806451614
Albury,2012,February,2.1034482758620685
Albury,2012,January,1.5354838709677419
Albury,2012,July,3.096774193548387
Albury,2012,June,1.02
Albury,2012,March,8.23225806451613
Albury,2012,May,1.2258064516129028
Albury,2012,November,1.2599999999999998
Albury,2012,October,1.466666666666667
Albury,2012,September,0.88
Albury,2013,April,0.4066666666666668
Albury,2013,August,2.825806451612903
Albury,2013,December,1.690322580645161
Albury,2013,January,0.5419354838709677
Albury,2013,July,2.354838709677419
Albury,2013,June,3.78
Albury,2013,March,1.645161290322581
Albury,2013,May,1.607142857142857
Albury,2013,November,0.3533333333333333
Albury,2013,October,0.48666666666666664
Albury,2013,September,1.7
Albury,2014,April,4.279999999999999
Albury,2014,August,0.3354838709677419
Albury,2014,December,1.2064516129032257
Albury,2014,February,1.1285714285714288
Albury,2014,January,1.1419354838709679
Albury,2014,July,1.3225806451612905
Albury,2014,June,2.3310344827586205
Albury,2014,March,1.5483870967741935
Albury,2014,May,2.0064516129032257
Albury,2014,November,1.913333333333333
Albury,2014,October,0.6533333333333333
Albury,2014,September,2.074074074074074
Albury,2015,April,2.78
Albury,2015,August,2.9161290322580644
Albury,2015,December,1.1032258064516127
Albury,2015,February,1.2571428571428571
Albury,2015,January,3.1225806451612903
Albury,2015,July,1.406451612903226
Albury,2015,June,2.786666666666666
Albury,2015,March,0.1548387096774194
Albury,2015,May,1.4645161290322581
Albury,2015,November,2.2066666666666666
Albury,2015,October,0.34193548387096784
Albury,2015,September,0.9133333333333329
Albury,2016,April,0.5466666666666665
Albury,2016,August,2.4
Albury,2016,December,0.7354838709677421
Albury,2016,February,1.0137931034482761
Albury,2016,January,2.2064516129032254
Albury,2016,July,3.767741935483871
Albury,2016,June,2.8666666666666667
Albury,2016,March,0.9612903225806453
Albury,2016,May,3.47741935483871
Albury,2016,November,1.6533333333333335
Albury,2016,October,1.9806451612903226
Albury,2016,September,4.74
Albury,2017,April,2.4199999999999995
Albury,2017,February,0.4444444444444443
Albury,2017,January,1.4645161290322577
Albury,2017,June,0.248
Albury,2017,March,0.13333333333333336
Albury,2017,May,1.464516129032258
AliceSprings,2008,December,1.7677419354838708
AliceSprings,2009,April,0
AliceSprings,2009,August,0.3741935483870968
AliceSprings,2009,December,0.3548387096774194
AliceSprings,2009,February,0.32142857142857156
AliceSprings,2009,January,0.48387096774193533
AliceSprings,2009,July,0
AliceSprings,2009,June,0.07999999999999997
AliceSprings,2009,March,0.012903225806451611
AliceSprings,2009,May,0.6838709677419357
AliceSprings,2009,November,0.013333333333333336
AliceSprings,2009,October,0
AliceSprings,2009,September,0.19333333333333333
AliceSprings,2010,April,1.3266666666666662
AliceSprings,2010,August,0.529032258064516
AliceSprings,2010,December,2.1870967741935483
AliceSprings,2010,February,6.514285714285714
AliceSprings,2010,January,4.419354838709676
AliceSprings,2010,July,3.316129032258065
AliceSprings,2010,June,0
AliceSprings,2010,March,1.0064516129032255
AliceSprings,2010,May,0.37419354838709684
AliceSprings,2010,November,2.0533333333333332
AliceSprings,2010,October,2.2645161290322577
AliceSprings,2010,September,1.6266666666666665
AliceSprings,2011,August,0
AliceSprings,2011,December,0.13548387096774195
AliceSprings,2011,February,3.842857142857143
AliceSprings,2011,January,2.0709677419354846
AliceSprings,2011,July,0.18709677419354845
AliceSprings,2011,June,0.3066666666666667
AliceSprings,2011,March,3.8903225806451616
AliceSprings,2011,May,0.0645161290322581
AliceSprings,2011,November,1.34
AliceSprings,2011,October,0.39999999999999986
AliceSprings,2011,September,0
AliceSprings,2012,April,0.8600000000000001
AliceSprings,2012,August,0
AliceSprings,2012,February,1.5310344827586209
AliceSprings,2012,January,0.8580645161290322
AliceSprings,2012,July,0
AliceSprings,2012,June,0
AliceSprings,2012,March,1.3161290322580645
AliceSprings,2012,May,0
AliceSprings,2012,November,1.44
AliceSprings,2012,October,0.01935483870967742
AliceSprings,2012,September,0.13333333333333336
AliceSprings,2013,April,0.02666666666666668
AliceSprings,2013,August,0
AliceSprings,2013,December,0.9935483870967741
AliceSprings,2013,January,0.7483870967741937
AliceSprings,2013,July,1.3935483870967738
AliceSprings,2013,June,0.13333333333333333
AliceSprings,2013,March,0.8129032258064519
AliceSprings,2013,May,1.4
AliceSprings,2013,November,0.03999999999999999
AliceSprings,2013,October,0
AliceSprings,2013,September,0.019999999999999993
AliceSprings,2014,April,3.0199999999999996
AliceSprings,2014,August,0
AliceSprings,2014,December,1.1225806451612903
AliceSprings,2014,February,1.6500000000000006
AliceSprings,2014,January,1.0774193548387094
AliceSprings,2014,July,0.8516129032258065
AliceSprings,2014,June,0
AliceSprings,2014,March,0.032258064516129045
AliceSprings,2014,May,0.17419354838709675
AliceSprings,2014,November,0.4533333333333334
AliceSprings,2014,October,0
AliceSprings,2014,September,0
AliceSprings,2015,April,0.2533333333333333
AliceSprings,2015,August,0.012903225806451616
AliceSprings,2015,December,3.8645161290322574
AliceSprings,2015,February,0
AliceSprings,2015,January,6.296774193548386
AliceSprings,2015,July,0
AliceSprings,2015,June,0.08
AliceSprings,2015,March,0
AliceSprings,2015,May,0
AliceSprings,2015,November,0.7933333333333334
AliceSprings,2015,October,0
AliceSprings,2015,September,0
AliceSprings,2016,April,0
AliceSprings,2016,August,0.6580645161290322
AliceSprings,2016,December,4.492857142857143
AliceSprings,2016,February,0.9103448275862068
AliceSprings,2016,January,1.2903225806451613
AliceSprings,2016,July,0
AliceSprings,2016,June,0.9333333333333331
AliceSprings,2016,March,0.5225806451612903
AliceSprings,2016,May,1.832258064516129
AliceSprings,2016,November,0.2333333333333333
AliceSprings,2016,October,0.10967741935483873
AliceSprings,2016,September,1.64
AliceSprings,2017,April,0.007142857142857143
AliceSprings,2017,February,0.15714285714285714
AliceSprings,2017,January,2.524137931034483
AliceSprings,2017,June,0
AliceSprings,2017,March,0
AliceSprings,2017,May,0
BadgerysCreek,2009,April,2.8
BadgerysCreek,2009,August,0.12258064516129034
BadgerysCreek,2009,December,1.7200000000000002
BadgerysCreek,2009,February,3.9142857142857146
BadgerysCreek,2009,January,0.9225806451612905
BadgerysCreek,2009,July,0.6516129032258065
BadgerysCreek,2009,June,0.6428571428571428
BadgerysCreek,2009,March,2.412903225806452
BadgerysCreek,2009,May,3.6645161290322577
BadgerysCreek,2009,November,0.5733333333333334
BadgerysCreek,2009,October,1.5357142857142856
BadgerysCreek,2009,September,0.8999999999999999
BadgerysCreek,2010,April,0.503448275862069
BadgerysCreek,2010,August,0.7214285714285713
BadgerysCreek,2010,December,4.373333333333333
BadgerysCreek,2010,February,5.2727272727272725
BadgerysCreek,2010,January,1.511111111111111
BadgerysCreek,2010,July,2.3866666666666667
BadgerysCreek,2010,June,2.2500000000000004
BadgerysCreek,2010,March,2.0071428571428576
BadgerysCreek,2010,May,2.923809523809524
BadgerysCreek,2010,November,3.9733333333333336
BadgerysCreek,2010,October,3.1066666666666665
BadgerysCreek,2010,September,1.393333333333333
BadgerysCreek,2011,August,1.4866666666666666
BadgerysCreek,2011,December,3.2129032258064516
BadgerysCreek,2011,February,0.9857142857142858
BadgerysCreek,2011,January,1.232258064516129
BadgerysCreek,2011,July,1.5161290322580647
BadgerysCreek,2011,June,2.1399999999999997
BadgerysCreek,2011,March,2.6774193548387095
BadgerysCreek,2011,May,1.6838709677419352
BadgerysCreek,2011,November,4.985714285714286
BadgerysCreek,2011,October,1.3741935483870966
BadgerysCreek,2011,September,2.28
BadgerysCreek,2012,April,4.313333333333334
BadgerysCreek,2012,August,0.11034482758620687
BadgerysCreek,2012,February,6.662068965517241
BadgerysCreek,2012,January,3.993333333333333
BadgerysCreek,2012,July,0.5741935483870968
BadgerysCreek,2012,June,2.873333333333333
BadgerysCreek,2012,March,6.387096774193546
BadgerysCreek,2012,May,0.4193548387096775
BadgerysCreek,2012,November,1.6199999999999999
BadgerysCreek,2012,October,1.380645161290322
BadgerysCreek,2012,September,0.4933333333333334
BadgerysCreek,2013,April,2.6533333333333333
BadgerysCreek,2013,August,0.24137931034482765
BadgerysCreek,2013,December,0.929032258064516
BadgerysCreek,2013,January,5.425806451612904
BadgerysCreek,2013,July,0.0903225806451613
BadgerysCreek,2013,June,5.066666666666666
BadgerysCreek,2013,March,1.9612903225806455
BadgerysCreek,2013,May,1.690322580645161
BadgerysCreek,2013,November,5.44
BadgerysCreek,2013,October,0.19354838709677422
BadgerysCreek,2013,September,0.9931034482758619
BadgerysCreek,2014,April,1.9599999999999997
BadgerysCreek,2014,August,4.380645161290322
BadgerysCreek,2014,December,4.129032258064517
BadgerysCreek,2014,February,2.5785714285714283
BadgerysCreek,2014,January,0.4387096774193549
BadgerysCreek,2014,July,0.2709677419354839
BadgerysCreek,2014,June,1.2296296296296299
BadgerysCreek,2014,March,4.366666666666667
BadgerysCreek,2014,May,0.2071428571428571
BadgerysCreek,2014,November,1.1533333333333338
BadgerysCreek,2014,October,1.7379310344827583
BadgerysCreek,2014,September,0.6933333333333334
BadgerysCreek,2015,April,8.446666666666667
BadgerysCreek,2015,August,1.5032258064516126
BadgerysCreek,2015,December,0
BadgerysCreek,2015,February,1.2142857142857144
BadgerysCreek,2015,January,4.833333333333333
BadgerysCreek,2015,July,1.161290322580645
BadgerysCreek,2015,June,2.0666666666666673
BadgerysCreek,2015,March,1.7999999999999998
BadgerysCreek,2015,May,1.6967741935483873
BadgerysCreek,2015,November,2.608
BadgerysCreek,2015,October,1.8774193548387097
BadgerysCreek,2015,September,0.3724137931034483
BadgerysCreek,2016,April,0.3466666666666667
BadgerysCreek,2016,August,1.8903225806451611
BadgerysCreek,2016,December,0.7285714285714284
BadgerysCreek,2016,February,0.44137931034482764
BadgerysCreek,2016,January,5.012903225806451
BadgerysCreek,2016,July,1.4387096774193548
BadgerysCreek,2016,June,8.34666666666667
BadgerysCreek,2016,March,1.0193548387096774
BadgerysCreek,2016,May,0.38064516129032255
BadgerysCreek,2016,November,0.32666666666666666
BadgerysCreek,2016,October,0.45806451612903226
BadgerysCreek,2016,September,1.8266666666666667
BadgerysCreek,2017,April,0.92
BadgerysCreek,2017,February,3.321428571428571
BadgerysCreek,2017,January,0.7866666666666666
BadgerysCreek,2017,June,2.2159999999999997
BadgerysCreek,2017,March,9.206451612903226
BadgerysCreek,2017,May,0.503225806451613
Ballarat,2008,December,2.6903225806451614
Ballarat,2009,April,1.1
Ballarat,2009,August,2.0903225806451613
Ballarat,2009,December,1.0322580645161292
Ballarat,2009,February,0.07857142857142857
Ballarat,2009,January,0.025806451612903222
Ballarat,2009,July,2.167741935483871
Ballarat,2009,June,1.94
Ballarat,2009,March,1.296774193548387
Ballarat,2009,May,0.6451612903225806
Ballarat,2009,November,3.766666666666667
Ballarat,2009,October,1.0258064516129033
Ballarat,2009,September,2.9933333333333336
Ballarat,2010,April,1.9400000000000002
Ballarat,2010,August,5.193548387096774
Ballarat,2010,December,1.8838709677419354
Ballarat,2010,February,0.9285714285714285
Ballarat,2010,January,0.832258064516129
Ballarat,2010,July,1.774193548387097
Ballarat,2010,June,1.4533333333333334
Ballarat,2010,March,3.9066666666666667
Ballarat,2010,May,1.070967741935484
Ballarat,2010,November,3.353333333333334
Ballarat,2010,October,2.9935483870967743
Ballarat,2010,September,3.5933333333333337
Ballarat,2011,August,1.5096774193548388
Ballarat,2011,December,0.8193548387096774
Ballarat,2011,February,4.033333333333334
Ballarat,2011,January,7.10344827586207
Ballarat,2011,July,1.6
Ballarat,2011,June,1.3666666666666667
Ballarat,2011,March,0.6580645161290322
Ballarat,2011,May,2.109677419354839
Ballarat,2011,November,3.0933333333333333
Ballarat,2011,October,2.116129032258064
Ballarat,2011,September,1.8266666666666664
Ballarat,2012,April,1.4866666666666666
Ballarat,2012,August,2.2580645161290325
Ballarat,2012,February,3.0068965517241377
Ballarat,2012,January,0.7161290322580645
Ballarat,2012,July,2.67741935483871
Ballarat,2012,June,2.706666666666667
Ballarat,2012,March,1.6387096774193546
Ballarat,2012,May,1.6580645161290324
Ballarat,2012,November,1.1199999999999997
Ballarat,2012,October,0.9612903225806452
Ballarat,2012,September,1.52
Ballarat,2013,April,0.36666666666666664
Ballarat,2013,August,2.3741935483870966
Ballarat,2013,December,0.8387096774193551
Ballarat,2013,January,0.058064516129032254
Ballarat,2013,July,2.354838709677419
Ballarat,2013,June,1.6333333333333335
Ballarat,2013,March,0.39999999999999997
Ballarat,2013,May,1.3354838709677417
Ballarat,2013,November,1.1933333333333334
Ballarat,2013,October,2.2838709677419353
Ballarat,2013,September,2.075862068965517
Ballarat,2014,April,2.3733333333333335
Ballarat,2014,August,1.1354838709677422
Ballarat,2014,December,0.3419354838709678
Ballarat,2014,February,0.2214285714285714
Ballarat,2014,January,0.664516129032258
Ballarat,2014,July,1.8838709677419354
Ballarat,2014,June,2.8
Ballarat,2014,March,0.8580645161290322
Ballarat,2014,May,0.9096774193548386
Ballarat,2014,November,1.3733333333333333
Ballarat,2014,October,1.0838709677419354
Ballarat,2014,September,1.6
Ballarat,2015,April,1.0933333333333333
Ballarat,2015,August,1.2451612903225806
Ballarat,2015,December,0.8451612903225806
Ballarat,2015,February,1.892857142857143
Ballarat,2015,January,2.509677419354839
Ballarat,2015,July,2
Ballarat,2015,June,0.92
Ballarat,2015,March,1.1225806451612903
Ballarat,2015,May,1.2516129032258063
Ballarat,2015,November,0.4933333333333334
Ballarat,2015,October,0.12258064516129034
Ballarat,2015,September,1.4266666666666667
Ballarat,2016,April,0.46
Ballarat,2016,August,2.0516129032258066
Ballarat,2016,December,0.8903225806451612
Ballarat,2016,February,0.3428571428571429
Ballarat,2016,January,1.3133333333333337
Ballarat,2016,July,3.0129032258064514
Ballarat,2016,June,2.3533333333333335
Ballarat,2016,March,1.1806451612903226
Ballarat,2016,May,2.303225806451613
Ballarat,2016,November,1.1333333333333335
Ballarat,2016,October,3.303225806451613
Ballarat,2016,September,5.94
Ballarat,2017,April,3.3666666666666667
Ballarat,2017,February,1.5785714285714283
Ballarat,2017,January,1.2451612903225806
Ballarat,2017,June,0.296
Ballarat,2017,March,1.432258064516129
Ballarat,2017,May,1.4193548387096777
Bendigo,2008,December,1.8258064516129033
Bendigo,2009,April,0.7533333333333332
Bendigo,2009,August,1.7161290322580647
Bendigo,2009,December,0.6129032258064516
Bendigo,2009,February,0.014285714285714285
Bendigo,2009,January,0
Bendigo,2009,July,2.387096774193549
Bendigo,2009,June,1.8066666666666664
Bendigo,2009,March,0.8645161290322579
Bendigo,2009,May,0.6451612903225807
Bendigo,2009,November,2.033333333333334
Bendigo,2009,October,1.0774193548387097
Bendigo,2009,September,1.7799999999999998
Bendigo,2010,April,2.56
Bendigo,2010,August,4.483870967741935
Bendigo,2010,December,3.341935483870967
Bendigo,2010,February,1.5571428571428574
Bendigo,2010,January,0.4387096774193547
Bendigo,2010,July,2.516129032258065
Bendigo,2010,June,2.2933333333333334
Bendigo,2010,March,3.754838709677419
Bendigo,2010,May,2.3096774193548386
Bendigo,2010,November,3.8399999999999994
Bendigo,2010,October,4.4387096774193555
Bendigo,2010,September,3.206666666666666
Bendigo,2011,August,2.2645161290322577
Bendigo,2011,December,1.1096774193548389
Bendigo,2011,February,5.435714285714287
Bendigo,2011,January,5.735483870967743
Bendigo,2011,July,1.735483870967742
Bendigo,2011,June,0.7533333333333334
Bendigo,2011,March,1.4838709677419353
Bendigo,2011,May,0.503225806451613
Bendigo,2011,November,2.3533333333333335
Bendigo,2011,October,0.8
Bendigo,2011,September,1.6666666666666667
Bendigo,2012,April,0.3866666666666667
Bendigo,2012,August,1.2645161290322582
Bendigo,2012,February,2.634482758620689
Bendigo,2012,January,0.935483870967742
Bendigo,2012,July,2.0129032258064514
Bendigo,2012,June,1.946666666666667
Bendigo,2012,March,2.6322580645161286
Bendigo,2012,May,0.7806451612903224
Bendigo,2012,November,0.21333333333333332
Bendigo,2012,October,0.561290322580645
Bendigo,2012,September,1.1133333333333333
Bendigo,2013,April,0.16666666666666669
Bendigo,2013,August,2.858064516129032
Bendigo,2013,December,1.509677419354839
Bendigo,2013,January,0.01935483870967742
Bendigo,2013,July,2.4903225806451617
Bendigo,2013,June,2.1133333333333333
Bendigo,2013,March,0.7935483870967744
Bendigo,2013,May,1.2774193548387096
Bendigo,2013,November,0.8066666666666666
Bendigo,2013,October,1.0322580645161292
Bendigo,2013,September,2.0066666666666664
Bendigo,2014,April,3.3866666666666667
Bendigo,2014,August,0.3096774193548388
Bendigo,2014,December,0.34193548387096784
Bendigo,2014,February,0.35
Bendigo,2014,January,0.09032258064516127
Bendigo,2014,July,1.4322580645161291
Bendigo,2014,June,3.366666666666667
Bendigo,2014,March,1.3419354838709676
Bendigo,2014,May,1.0774193548387097
Bendigo,2014,November,1.42
Bendigo,2014,October,0.4
Bendigo,2014,September,1.7666666666666668
Bendigo,2015,April,0.9400000000000001
Bendigo,2015,August,0.7483870967741937
Bendigo,2015,December,0.45806451612903226
Bendigo,2015,February,0.3428571428571428
Bendigo,2015,January,1.8451612903225807
Bendigo,2015,July,1.703225806451613
Bendigo,2015,June,1.22
Bendigo,2015,March,0.29032258064516125
Bendigo,2015,May,1.5161290322580645
Bendigo,2015,November,1.1466666666666665
Bendigo,2015,October,0.4580645161290323
Bendigo,2015,September,1.0200000000000002
Bendigo,2016,April,0.49333333333333335
Bendigo,2016,August,2.6129032258064515
Bendigo,2016,December,0.9419354838709678
Bendigo,2016,February,0.1571428571428572
Bendigo,2016,January,1.0799999999999998
Bendigo,2016,July,2.9612903225806453
Bendigo,2016,June,1.9133333333333333
Bendigo,2016,March,1.0774193548387094
Bendigo,2016,May,2.67741935483871
Bendigo,2016,November,1.2533333333333332
Bendigo,2016,October,1.8838709677419359
Bendigo,2016,September,5.113333333333333
Bendigo,2017,April,3.7733333333333334
Bendigo,2017,February,1.0499999999999998
Bendigo,2017,January,1.3870967741935487
Bendigo,2017,June,0.08800000000000001
Bendigo,2017,March,1.47741935483871
Bendigo,2017,May,1.0296296296296295
Brisbane,2008,August,0.5096774193548387
Brisbane,2008,December,2.0193548387096776
Brisbane,2008,July,2.9483870967741934
Brisbane,2008,November,10.886666666666667
Brisbane,2008,October,1.8400000000000003
Brisbane,2008,September,1.853333333333334
Brisbane,2009,April,6.506666666666666
Brisbane,2009,August,0.12903225806451615
Brisbane,2009,December,5.554838709677419
Brisbane,2009,February,4.707142857142857
Brisbane,2009,January,2.580000000000001
Brisbane,2009,July,0.11999999999999995
Brisbane,2009,June,2.9199999999999995
Brisbane,2009,March,1.5354838709677419
Brisbane,2009,May,7.767741935483871
Brisbane,2009,November,1.0827586206896553
Brisbane,2009,October,1.8516129032258064
Brisbane,2009,September,0.7800000000000001
Brisbane,2010,April,1.2551724137931033
Brisbane,2010,August,3.374193548387096
Brisbane,2010,December,15.47741935483871
Brisbane,2010,February,9.72857142857143
Brisbane,2010,January,1.296774193548387
Brisbane,2010,July,0.8967741935483872
Brisbane,2010,June,0.20666666666666672
Brisbane,2010,March,5.406666666666666
